Input,Expected,Outcome
What does my Shoes - General Purpose profile require?,"The GS1 category Shoes - General Purpose (10001077, Footwear) has 22 standard extended attributes defined in the GS1 library: Advertised Origin, Brand Name, Care Instructions Code, Closure, Country of Origin, Fabric or Material Code, Faux Fur, Features - Benefits Marketing Message, Fur Animal Name, Fur Country of Origin, Fur Treatment, Gender, Global Product Classification (GPC), Harmonized Tariff Schedule Code, Heel Height, Lining Material, Open/Closed Toe, Prop 65, Shoe Type, Sole Type, Toe Shape, Toe Style. All products also always carry the 8 baseline core attributes (Product ID, Product Description, GTIN code, GTIN Description, NRF Size Code, NRF Color Code, Size Description, and Color Description). Whether an active attribute profile has been created for this category should be confirmed in Attributes & Images.",generated: gs1-brick-requirements
What does my Athletic Footwear - General Purpose profile require?,"The GS1 category Athletic Footwear - General Purpose (10001070, Footwear) has 17 standard extended attributes defined in the GS1 library: Advertised Origin, Brand Name, Care Instructions Code, Closure, Country of Origin, Fabric or Material Code, Features - Benefits Marketing Message, Fur Treatment, Gender, Global Product Classification (GPC), Harmonized Tariff Schedule Code, Heel Height, Lining Material, Prop 65, Shoe Type, Sole Type, Sport. All products also always carry the 8 baseline core attributes (Product ID, Product Description, GTIN code, GTIN Description, NRF Size Code, NRF Color Code, Size Description, and Color Description). Whether an active attribute profile has been created for this category should be confirmed in Attributes & Images.",generated: gs1-brick-requirements
What does my Dresses profile require?,"The GS1 category Dresses (10001333, Clothing) has 26 standard extended attributes defined in the GS1 library: Advertised Origin, Brand Name, Care Instructions Code, Closure, Collar Type, Consumer Item Length, Consumer Life Stage, Country of Origin, Dress Type, Fabric or Material Code, Features - Benefits Marketing Message, Fiber, Fur Animal Name, Fur Country of Origin, Fur Treatment, Gauge, Gender, Global Product Classification (GPC), Harmonized Tariff Schedule Code, Length Description, Lined, Lining Material, Pocket Details, Prop 65, Sleeve Type, Wrinkle Resistant. All products also always carry the 8 baseline core attributes (Product ID, Product Description, GTIN code, GTIN Description, NRF Size Code, NRF Color Code, Size Description, and Color Description). Whether an active attribute profile has been created for this category should be confirmed in Attributes & Images.",generated: gs1-brick-requirements
What does my Jackets/Blazers/Cardigans/Waistcoats profile require?,"The GS1 category Jackets/Blazers/Cardigans/Waistcoats (10001350, Clothing) has 28 standard extended attributes defined in the GS1 library: Advertised Origin, Brand Name, Care Instructions Code, Closure, Coat/Jacket Type, Collar Type, Consumer Item Length, Consumer Life Stage, Country of Origin, Fabric or Material Code, Features - Benefits Marketing Message, Fiber, Fur Animal Name, Fur Country of Origin, Fur Treatment, Gauge, Gender, Global Product Classification (GPC), Harmonized Tariff Schedule Code, Hooded, Length Description, Lined, Lining Material, Pocket Details, Prop 65, Sleeve Type, Water Repellent, Wrinkle Resistant. All products also always carry the 8 baseline core attributes (Product ID, Product Description, GTIN code, GTIN Description, NRF Size Code, NRF Color Code, Size Description, and Color Description). Whether an active attribute profile has been created for this category should be confirmed in Attributes & Images.",generated: gs1-brick-requirements
What does my Shirts/Blouses/Polo Shirts/T-Shirts profile require?,"The GS1 category Shirts/Blouses/Polo Shirts/T-Shirts (10001352, Clothing) has 25 standard extended attributes defined in the GS1 library: Advertised Origin, Brand Name, Care Instructions Code, Closure, Collar Type, Consumer Item Length, Consumer Life Stage, Country of Origin, Fabric or Material Code, Features - Benefits Marketing Message, Fiber, Fur Animal Name, Fur Country of Origin, Fur Treatment, Gender, Global Product Classification (GPC), Harmonized Tariff Schedule Code, Hooded, Length Description, Lined, Lining Material, Pocket Details, Prop 65, Sleeve Type, Wrinkle Resistant. All products also always carry the 8 baseline core attributes (Product ID, Product Description, GTIN code, GTIN Description, NRF Size Code, NRF Color Code, Size Description, and Color Description). Whether an active attribute profile has been created for this category should be confirmed in Attributes & Images.",generated: gs1-brick-requirements
What does my Sweaters/Pullovers profile require?,"The GS1 category Sweaters/Pullovers (10001351, Clothing) has 26 standard extended attributes defined in the GS1 library: Advertised Origin, Brand Name, Care Instructions Code, Closure, Collar Type, Consumer Item Length, Consumer Life Stage, Country of Origin, Fabric or Material Code, Features - Benefits Marketing Message, Fiber, Fur Animal Name, Fur Country of Origin, Fur Treatment, Gauge, Gender, Global Product Classification (GPC), Harmonized Tariff Schedule Code, Hooded, Length Description, Lined, Lining Material, Pocket Details, Prop 65, Sleeve Type, Sweater/Pullover Type. All products also always carry the 8 baseline core attributes (Product ID, Product Description, GTIN code, GTIN Description, NRF Size Code, NRF Color Code, Size Description, and Color Description). Whether an active attribute profile has been created for this category should be confirmed in Attributes & Images.",generated: gs1-brick-requirements
What does my Upper Body Wear/Tops Variety Packs profile require?,"The GS1 category Upper Body Wear/Tops Variety Packs (10001361, Clothing) has 22 standard extended attributes defined in the GS1 library: Advertised Origin, Brand Name, Care Instructions Code, Closure, Collar Type, Consumer Item Length, Consumer Life Stage, Consumer Quantity of Units in Consumer Package, Country of Origin, Fabric or Material Code, Features - Benefits Marketing Message, Fiber, Fur Animal Name, Fur Country of Origin, Fur Treatment, Gender, Global Product Classification (GPC), Harmonized Tariff Schedule Code, Length Description, Pocket Details, Prop 65, Sleeve Type. All products also always carry the 8 baseline core attributes (Product ID, Product Description, GTIN code, GTIN Description, NRF Size Code, NRF Color Code, Size Description, and Color Description). Whether an active attribute profile has been created for this category should be confirmed in Attributes & Images.",generated: gs1-brick-requirements
What does my Overalls/Bodysuits profile require?,"The GS1 category Overalls/Bodysuits (10001332, Clothing) has 21 standard extended attributes defined in the GS1 library: Advertised Origin, Brand Name, Care Instructions Code, Closure, Collar Type, Consumer Life Stage, Country of Origin, Fabric or Material Code, Features - Benefits Marketing Message, Fiber, Fur Animal Name, Fur Country of Origin, Fur Treatment, Gender, Global Product Classification (GPC), Harmonized Tariff Schedule Code, Leg Type, Length Description, Pocket Details, Prop 65, Sleeve Type. All products also always carry the 8 baseline core attributes (Product ID, Product Description, GTIN code, GTIN Description, NRF Size Code, NRF Color Code, Size Description, and Color Description). Whether an active attribute profile has been created for this category should be confirmed in Attributes & Images.",generated: gs1-brick-requirements
What does my Lower Body Wear/Bottoms Variety Packs profile require?,"The GS1 category Lower Body Wear/Bottoms Variety Packs (10001356, Clothing) has 22 standard extended attributes defined in the GS1 library: Advertised Origin, Brand Name, Care Instructions Code, Consumer Life Stage, Consumer Quantity of Units in Consumer Package, Country of Origin, Fabric or Material Code, Features - Benefits Marketing Message, Fiber, Fur Animal Name, Fur Country of Origin, Fur Treatment, Gender, Global Product Classification (GPC), Harmonized Tariff Schedule Code, Leg Type, Pant Inseam Length, Pants/Shorts Type, Pocket Details, Prop 65, Waist Rise, Waistband Type. All products also always carry the 8 baseline core attributes (Product ID, Product Description, GTIN code, GTIN Description, NRF Size Code, NRF Color Code, Size Description, and Color Description). Whether an active attribute profile has been created for this category should be confirmed in Attributes & Images.",generated: gs1-brick-requirements
What does my Skirts profile require?,"The GS1 category Skirts (10001334, Clothing) has 24 standard extended attributes defined in the GS1 library: Advertised Origin, Brand Name, Care Instructions Code, Closure, Consumer Item Length, Consumer Life Stage, Country of Origin, Fabric or Material Code, Features - Benefits Marketing Message, Fiber, Fur Animal Name, Fur Country of Origin, Fur Treatment, Gender, Global Product Classification (GPC), Harmonized Tariff Schedule Code, Length Description, Lined, Lining Material, Pocket Details, Prop 65, Skirt Type, Waistband Type, Wrinkle Resistant. All products also always carry the 8 baseline core attributes (Product ID, Product Description, GTIN code, GTIN Description, NRF Size Code, NRF Color Code, Size Description, and Color Description). Whether an active attribute profile has been created for this category should be confirmed in Attributes & Images.",generated: gs1-brick-requirements
